He+ 0         2         1    198310.7722(2S)
    1 1S2                 (1)0(  0.0)         0.0000    {1}2.000
    2 1S1 2S1             (3)0(  1.0)    159856.0776    {1}1.000
    3 1S1 2S1             (1)0(  0.0)    166277.5420    {1}1.000
    4 1S1 2P1             (3)1(  4.0)    169087.0135    {1}1.000
    5 1S1 2P1             (1)1(  1.0)    171135.0000    {1}1.000
    6 1S1 3S1             (3)0(  1.0)    183236.8920    {1}1.000
    7 1S1 3S1             (1)0(  0.0)    184864.9320    {1}1.000
    8 1S1 3P1             (3)1(  4.0)    185564.7049    {1}1.000
    9 1S1 3D1             (3)2(  7.0)    186101.6597    {1}1.000
   10 1S1 3D1             (1)2(  2.0)    186105.0698    {1}1.000
   11 1S1 3P1             (1)1(  1.0)    186209.4684    {1}1.000
   12 1S1 4S1             (3)0(  1.0)    190298.2165    {1}1.000
   13 1S1 4S1             (1)0(  0.0)    190940.3300    {1}1.000
   14 1S1 4P1             (3)1(  4.0)    191217.1603    {1}1.000
   15 1S1 4D1             (3)2(  7.0)    191444.5885    {1}1.000
   16 1S1 4D1             (1)2(  2.0)    191446.5590    {1}1.000
   17 1S1 4F1             (3)3( 10.0)    191451.9838    {1}1.000
   18 1S1 4F1             (1)3(  3.0)    191452.0005    {1}1.000
   19 1S1 4P1             (1)1(  1.0)    191492.8160    {1}1.000
   -1
 1.00    4       7.76+06
3  2   1 1.00-30 3.11-03
3  1   2 0.00+00 3.13-03
2  3   1 1.00-30 1.47-01
2  1   3 0.00+00 1.46-01
3  4   1 1.00-30 3.66-03
3  1   4 0.00+00 3.64-03
1  5   1 1.80+09 2.05+00
1  1   5 0.00+00 2.03+00
3  6   1 1.00-30 7.11-04
3  1   6 0.00+00 7.10-04
2  7   1 1.00-30 3.10-02
2  1   7 0.00+00 3.06-02
3  8   1 1.00-30 1.00-03
3  1   8 0.00+00 9.95-04
3  9   1 1.00-30 9.80-05
3  1   9 0.00+00 9.81-05
2 10   1 1.00-30 9.70-03
2  1  10 0.00+00 9.57-03
1 11   1 5.66+08 5.05-01
1  1  11 0.00+00 4.99-01
3 12   1 1.00-30 2.65-04
3  1  12 0.00+00 2.64-04
2 13   1 1.00-30 1.19-02
2  1  13 0.00+00 1.17-02
3 14   1 1.00-30 4.16-04
3  1  14 0.00+00 4.13-04
3 15   1 1.00-30 5.51-05
