He+ 0         2         1    198310.7722(2S)
    1 1S2                 (1)0(  0.0)         0.0000    {1}2.000
    2 1S1 2S1             (3)0(  1.0)    159856.0776    {1}1.000
    3 1S1 2S1             (1)0(  0.0)    166277.5420    {1}1.000
    4 1S1 2P1             (3)1(  4.0)    169087.0135    {1}1.000
    5 1S1 2P1             (1)1(  1.0)    171135.0000    {1}1.000
    6 1S1 3S1             (3)0(  1.0)    183236.8920    {1}1.000
    7 1S1 3S1             (1)0(  0.0)    184864.9320    {1}1.000
    8 1S1 3P1             (3)1(  4.0)    185564.7049    {1}1.000
    9 1S1 3D1             (3)2(  7.0)    186101.6597    {1}1.000
   10 1S1 3D1             (1)2(  2.0)    186105.0698    {1}1.000
   11 1S1 3P1             (1)1(  1.0)    186209.4684    {1}1.000
   12 1S1 4S1             (3)0(  1.0)    190298.2165    {1}1.000
   13 1S1 4S1             (1)0(  0.0)    190940.3300    {1}1.000
   14 1S1 4P1             (3)1(  4.0)    191217.1603    {1}1.000
   15 1S1 4D1             (3)2(  7.0)    191444.5885    {1}1.000
   16 1S1 4D1             (1)2(  2.0)    191446.5590    {1}1.000
   17 1S1 4F1             (3)3( 10.0)    191451.9838    {1}1.000
   18 1S1 4F1             (1)3(  3.0)    191452.0005    {1}1.000
   19 1S1 4P1             (1)1(  1.0)    191492.8160    {1}1.000
   -1
 1.00    4       4.78+04
3  2   1 1.00-30 2.29-02
3  1   2 0.00+00 1.32-01
2  3   1 1.00-30 7.53-02
2  1   3 0.00+00 5.98-02
3  4   1 1.00-30 3.84-02
3  1   4 0.00+00 6.23-02
1  5   1 1.80+09 5.70-01
1  1   5 0.00+00 5.74-02
3  6   1 1.00-30 8.63-03
3  1   6 0.00+00 2.45-02
2  7   1 1.00-30 2.35-02
2  1   7 0.00+00 1.52-02
3  8   1 1.00-30 1.39-02
3  1   8 0.00+00 1.63-02
3  9   1 1.00-30 1.87-03
3  1   9 0.00+00 3.71-03
2 10   1 1.00-30 1.34-02
2  1  10 0.00+00 6.25-03
1 11   1 5.66+08 2.17-01
1  1  11 0.00+00 1.55-02
3 12   1 1.00-30 3.95-03
3  1  12 0.00+00 8.03-03
2 13   1 1.00-30 1.06-02
2  1  13 0.00+00 4.92-03
3 14   1 1.00-30 6.27-03
3  1  14 0.00+00 7.04-03
3 15   1 1.00-30 1.24-03
